Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
MEIM.S1WA,2002.10,85531,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2002.11,89223,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2002.12,96932,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2003.01,97033,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2003.02,92200,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2003.03,91733,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2003.04,87846,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2003.05,84722,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2003.06,80419,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2003.07,80985,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2003.08,84256,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2003.09,82167,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2003.10,85369,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2003.11,91374,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2003.12,99890,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2004.01,97825,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2004.02,93345,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2004.03,93658,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2004.04,89369,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2004.05,84401,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2004.06,80589,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2004.07,81849,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2004.08,81968,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2004.09,83555,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2004.10,84839,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2004.11,93005,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2004.12,99630,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2005.01,96389,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2005.02,98565,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2005.03,97220,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2005.04,89764,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2005.05,85009,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2005.06,80452,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2005.07,82004,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2005.08,84011,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2005.09,84913,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2005.10,86182,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2005.11,92042,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2005.12,98292,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2006.01,95371,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2006.02,93511,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2006.03,92203,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2006.04,86906,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2006.05,83342,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2006.06,80525,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2006.07,81846,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2006.08,87126,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2006.09,87683,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2006.10,86030,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2006.11,92081,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2006.12,97268,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2007.01,97111,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2007.02,95522,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2007.03,93769,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2007.04,88478,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2007.05,84625,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2007.06,80491,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2007.07,81329,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2007.08,84618,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2007.09,85708,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2007.10,87507,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2007.11,93231,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2007.12,98853,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2008.01,99933,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2008.02,97539,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2008.03,93801,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2008.04,90240,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2008.05,86883,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2008.06,82929,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2008.07,84806,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2008.08,85587,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2008.09,86747,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2008.10,89517,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2008.11,94966,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
