Series_reference,Period,Data_value,STATUS,UNITS,Subject,Group,Series_title_1
CPIQ.SE9A,1926.03,20.90035,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1926.06,20.990437,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1926.09,21.016177,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1926.12,20.926089,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1927.03,20.88748,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1927.06,20.810262,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1927.09,20.720175,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1927.12,20.733044,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1928.03,20.733044,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1928.06,20.861741,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1928.09,20.758783,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1928.12,20.861741,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1929.03,20.745914,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1929.06,20.707304,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1929.09,20.762972,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1929.12,20.762972,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1930.03,20.618066,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1930.06,20.493861,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1930.09,20.286852,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1930.12,19.934937,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1931.03,19.29321,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1931.06,18.899894,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1931.09,18.444475,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1931.12,18.382373,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1932.03,18.113261,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1932.06,17.368029,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1932.09,16.995414,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1932.12,16.684901,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1933.03,16.498593,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1933.06,16.477892,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1933.09,16.477892,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1933.12,16.560696,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1934.03,16.643499,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1934.06,16.809106,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1934.09,16.705602,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1934.12,16.767705,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1935.03,17.098918,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1935.06,17.285226,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1935.09,17.347329,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1935.12,17.699244,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1936.03,17.388731,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1936.06,17.719945,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1936.09,18.009757,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1936.12,18.278868,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1937.03,18.589381,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1937.06,19.0241,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1937.09,19.189706,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1937.12,19.603723,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1938.03,19.52092,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1938.06,19.686527,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1938.09,19.707228,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1938.12,19.727929,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1939.03,20.059143,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1939.06,20.348955,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1939.09,20.597365,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1939.12,21.239092,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1940.03,20.969981,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1940.06,21.301195,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1940.09,21.570307,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1940.12,21.818717,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1941.03,21.860118,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1941.06,22.12923,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1941.09,22.212033,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1941.12,22.646751,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1942.03,22.35694,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1942.06,22.708854,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1942.09,23.143573,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1942.12,23.536889,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1943.03,23.247077,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1943.06,23.309179,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1943.09,23.55759,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1943.12,23.868103,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1944.03,23.661094,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1944.06,23.785299,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1944.09,23.950906,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1944.12,24.220018,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1945.03,24.075112,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1945.06,24.095812,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1945.09,24.220018,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1945.12,24.530531,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1946.03,24.302821,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1946.06,24.344223,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1946.09,24.530531,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1946.12,24.489129,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1947.03,24.385625,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1947.06,24.551232,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1947.09,24.965249,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1947.12,26.973233,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1948.03,26.849028,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1948.06,27.159541,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1948.09,27.345849,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1948.12,27.407952,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1949.03,27.407952,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1949.06,27.462768,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1949.09,27.791663,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1949.12,27.901294,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1950.03,27.956111,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1950.06,28.833165,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1950.09,29.792444,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1950.12,30.285786,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1951.03,30.724314,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1951.06,32.039896,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1951.09,33.081397,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1951.12,33.903636,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1952.03,34.342163,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1952.06,34.808099,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1952.09,35.19181,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1952.12,35.465889,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1953.03,35.822192,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1953.06,36.233312,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1953.09,36.644431,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1953.12,37.439262,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1954.03,37.74075,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1954.06,38.371132,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1954.09,38.425948,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1954.12,38.343724,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
